,投資標的,比例,經緯度,tmp1,tmp2
0,馬丁中游合作有限公司 (美國 能源) MRT MID PART/MRT MID FIN,1.79,"[32.3933847, -94.85514361995487]",32.3933847,-94.85514361995487
1,CSC控股有限責任公司 (美國 衛星電纜) CSC HOLDINGS LLC,1.64,"[41.1702360057726, -74.31754478477202]",41.1702360057726,-74.31754478477202
2,西方石油 (美國 能源) OCCIDENTAL PETROLEUM COR,1.57,"[30.66278719748848, -95.56200543749686]",30.66278719748848,-95.56200543749686
3,CCO控股有限責任公司/CCO控股 (美國 衛星電纜) CCO HLDGS LLC/CAP CORP,1.55,"[29.58395725645132, -98.5569951433713]",29.58395725645132,-98.5569951433713
4,卡爾派電業 (美國 公用事業) CALPINE CORP,1.47,"[30.16894093685135, -95.36013165961367]",30.16894093685135,-95.36013165961367
5,摩根大通銀行 (美國 銀行業) JPMORGAN CHASE & CO,1.35,"[41.03778185323387, -73.93988975811995]",41.03778185323387,-73.93988975811995
6,嘉年華集團 (美國 消費耐久財) CARNIVAL CORP,1.31,"[27.75591617334141, -81.2895125069648]",27.75591617334141,-81.2895125069648
7,Clearway能源營運公司 (美國 公用事業) CLEARWAY ENERGY OP LLC,1.28,"[40.214400860967075, -74.75711896541344]",40.214400860967075,-74.75711896541344
8,切尼爾能源公司 (美國 能源) CHENIERE ENERGY PARTNERS,1.28,"[29.70362657840562, -95.36013165961363]",29.70362657840562,-95.36013165961363
9,阿勒泰思法國控股 (盧森堡 無線通訊) ALTICE FRANCE HOLDING SA,1.27,"[48.89654100562556, 2.3878885089156245]",48.89654100562556,2.3878885089156245
