,日期,淨值,漲跌幅%
0,2022/12/01,19.59,0.82
1,2022/11/30,19.43,0.47
2,2022/11/29,19.34,0.0
3,2022/11/28,19.34,-0.31
4,2022/11/25,19.4,0.05
5,2022/11/24,19.39,0.0
6,2022/11/23,19.39,0.52
7,2022/11/22,19.29,0.31
8,2022/11/21,19.23,-0.1
9,2022/11/18,19.25,0.21
10,2022/11/17,19.21,-0.41
11,2022/11/16,19.29,0.16
12,2022/11/15,19.26,0.42
13,2022/11/14,19.18,0.42
14,2022/11/11,19.1,0.1
15,2022/11/10,19.08,1.6
16,2022/11/09,18.78,-0.48
17,2022/11/08,18.87,-0.05
18,2022/11/07,18.88,0.11
19,2022/11/04,18.86,0.21
20,2022/11/03,18.82,-0.9
21,2022/11/02,18.99,-0.11
22,2022/11/01,19.01,0.0
23,2022/10/31,19.01,-0.47
24,2022/10/28,19.1,1.06
25,2022/10/27,18.9,0.59
26,2022/10/26,18.79,0.59
27,2022/10/25,18.68,0.27
28,2022/10/24,18.63,0.22
29,2022/10/21,18.59,-0.05
30,2022/10/20,18.6,-0.16
31,2022/10/19,18.63,-0.53
32,2022/10/18,18.73,0.48
33,2022/10/17,18.64,0.49
34,2022/10/14,18.55,0.22
35,2022/10/13,18.51,-0.22
36,2022/10/12,18.55,0.05
37,2022/10/11,18.54,-1.01
38,2022/10/10,18.73,0.05
39,2022/10/07,18.72,-0.43
40,2022/10/06,18.8,0.11
41,2022/10/05,18.78,-0.05
42,2022/10/04,18.79,1.29
43,2022/10/03,18.55,0.54
44,2022/09/30,18.45,0.16
45,2022/09/29,18.42,-0.54
46,2022/09/28,18.52,0.27
47,2022/09/27,18.47,-0.48
48,2022/09/26,18.56,-1.01
49,2022/09/23,18.75,-0.79
50,2022/09/22,18.9,-0.84
51,2022/09/21,19.06,0.05
52,2022/09/20,19.05,-0.21
53,2022/09/19,19.09,0.1
54,2022/09/16,19.07,-0.47
55,2022/09/15,19.16,-0.42
56,2022/09/14,19.24,-0.21
57,2022/09/13,19.28,-1.08
58,2022/09/12,19.49,0.21
59,2022/09/09,19.45,0.73
60,2022/09/08,19.31,0.47
61,2022/09/07,19.22,0.37
62,2022/09/06,19.15,-0.16
63,2022/09/05,19.18,0.0
64,2022/09/02,19.18,0.42
65,2022/09/01,19.1,-0.62
66,2022/08/31,19.22,-0.41
67,2022/08/30,19.3,-0.57
68,2022/08/29,19.41,-0.61
69,2022/08/26,19.53,-0.2
70,2022/08/25,19.57,0.2
71,2022/08/24,19.53,0.05
72,2022/08/23,19.52,-0.1
73,2022/08/22,19.54,-0.96
74,2022/08/19,19.73,-0.5
75,2022/08/18,19.83,-0.15
76,2022/08/17,19.86,-0.45
77,2022/08/16,19.95,-0.15
78,2022/08/15,19.98,0.05
79,2022/08/12,19.97,0.0
80,2022/08/11,19.97,0.3
81,2022/08/10,19.91,0.71
82,2022/08/09,19.77,-0.35
83,2022/08/08,19.84,0.25
84,2022/08/05,19.79,-0.15
85,2022/08/04,19.82,0.41
86,2022/08/03,19.74,0.05
87,2022/08/02,19.73,0.1
88,2022/08/01,19.71,0.31
89,2022/07/29,19.65,0.87
90,2022/07/28,19.48,0.78
91,2022/07/27,19.33,0.47
92,2022/07/26,19.24,-0.26
93,2022/07/25,19.29,-0.05
94,2022/07/22,19.3,0.57
95,2022/07/21,19.19,0.52
96,2022/07/20,19.09,0.69
97,2022/07/19,18.96,0.42
98,2022/07/18,18.88,0.43
99,2022/07/15,18.8,0.59
100,2022/07/14,18.69,-0.48
101,2022/07/13,18.78,-0.05
102,2022/07/12,18.79,-0.11
103,2022/07/11,18.81,0.05
104,2022/07/08,18.8,0.27
105,2022/07/07,18.75,0.7
106,2022/07/06,18.62,0.22
107,2022/07/05,18.58,-0.11
108,2022/07/04,18.6,0.05
109,2022/07/01,18.59,0.16
110,2022/06/30,18.56,-0.38
111,2022/06/29,18.63,-0.69
