,基金名稱,幣別,淨值,漲跌,比例,日期
2,安聯中國東協基金,台幣,12.55,-0.06,-0.48%,11/25
4,安聯中國策略基金,台幣,20.19,-0.11,-0.54%,11/25
6,安聯中國策略基金,美元,15.56,-0.02,-0.13%,11/25
8,安聯中國策略基金,人民幣,6.71,0.00,0.00,11/25
10,安聯中華新思路基金,台幣,17.52,-0.10,-0.57%,11/25
12,安聯中華新思路基金,人民幣,20.84,-0.02,-0.10%,11/25
14,安聯中華新思路基金,美元,18.62,-0.04,-0.21%,11/25
16,安聯台灣大壩基金,台幣,53.56,-0.10,-0.19%,11/28
18,安聯台灣科技基金,台幣,108.43,-0.49,-0.45%,11/28
20,安聯台灣貨幣市場基金,台幣,12.7228,0.0011,0.01%,11/28
22,安聯台灣智慧趨勢基金,台幣,70.48,-0.01,-0.01%,11/28
24,安聯四季回報債券組合基金-A/累積型,台幣,14.6218,-0.0130,-0.09%,11/25
26,安聯四季回報債券組合基金-A/累積型,美元,10.0777,-0.0020,-0.02%,11/25
28,安聯四季回報債券組合基金-B類型/月配息,台幣,8.2403,-0.0073,-0.09%,11/25
30,安聯四季回報債券組合基金-P/累積型,台幣,9.2886,-0.0080,-0.09%,11/25
32,安聯四季成長組合基金-A/累積型,台幣,14.21,-0.10,-0.70%,11/25
34,安聯四季成長組合基金,美元,13.82,0.04,0.29%,11/25
36,安聯四季成長組合基金-P類型,台幣,12.20,-0.09,-0.73%,11/25
38,安聯四季豐收債券組合基金-A類型(累積),台幣,12.0033,0.0021,0.02%,11/25
40,安聯四季豐收債券組合基金-A類型(累積),人民幣,13.2252,0.0111,0.08%,11/25
42,安聯四季豐收債券組合基金-A類型/累積,美元,10.2990,-0.0022,-0.02%,11/25
44,安聯四季豐收債券組合基金-B類型(月配息),台幣,7.1017,0.0013,0.02%,11/25
46,安聯四季豐收債券組合基金-B月配型,美元,7.6486,-0.0017,-0.02%,11/25
48,安聯四季豐收債券組合基金-B類型(月配息),人民幣,7.9295,0.0067,0.08%,11/25
50,安聯四季豐收債券組合基金-N類型/月配息,台幣,8.0460,0.0014,0.02%,11/25
52,安聯四季豐收債券組合基金-N類型/月配息,美元,8.0202,-0.0017,-0.02%,11/25
54,安聯四季豐收債券組合基金-N類型/月配息,人民幣,8.4375,0.0072,0.09%,11/25
56,安聯四季雙收入息組合基金-A/累積型,台幣,12.79,-0.09,-0.70%,11/25
58,安聯四季雙收入息組合基金-A/累積型,美元,12.86,0.04,0.31%,11/25
60,安聯四季雙收入息組合基金-B/月配型,台幣,9.75,-0.07,-0.71%,11/25
62,安聯四季雙收入息組合基金-B/月配型,美元,10.35,0.03,0.29%,11/25
64,安聯四季雙收入息組合基金-B/月配型,人民幣,11.67,0.05,0.43%,11/25
66,安聯四季雙收入息組合基金-P類型/累積,台幣,11.32,-0.08,-0.70%,11/25
70,安聯目標收益基金-A類型(累積),台幣,10.0177,-0.0055,-0.05%,11/25
72,安聯目標收益基金-A類型(累積),美元,10.7399,-0.0088,-0.08%,11/25
74,安聯目標收益基金-A類型(累積),人民幣,12.2356,0.0101,0.08%,11/25
76,安聯目標收益基金-B類型(月配息),台幣,6.0166,-0.0033,-0.05%,11/25
78,安聯目標收益基金-B類型(月配息),美元,6.4712,-0.0053,-0.08%,11/25
80,安聯目標收益基金-B類型(月配息),人民幣,6.6419,0.0055,0.08%,11/25
82,安聯目標收益基金-N類型/月配息,人民幣,7.9362,0.0065,0.08%,11/25
84,安聯目標收益基金-N類型/月配息,台幣,7.4693,-0.0042,-0.06%,11/25
86,安聯全球人口趨勢基金,台幣,13.34,-0.13,-0.97%,11/25
88,安聯全球生技趨勢基金,台幣,42.04,-0.33,-0.78%,11/25
90,安聯全球生技趨勢基金,美元,11.15,0.02,0.18%,11/25
92,安聯全球油礦金趨勢基金,台幣,10.81,-0.12,-1.10%,11/25
