,基金名稱,幣別,淨值,漲跌,比例,日期
2,富蘭克林華美生技基金,台幣,11.25,-0.08,-0.71%,11/25
4,富蘭克林華美生技基金-N類型,台幣,11.25,-0.08,-0.71%,11/25
6,富蘭克林華美生技基金,美元,10.83,0.02,0.19%,11/25
8,富蘭克林華美生技基金-N類型,美元,10.84,0.03,0.28%,11/25
10,富蘭克林華美生技基金,人民幣,11.59,0.09,0.78%,11/25
12,富蘭克林華美生技基金-N類型,人民幣,11.59,0.10,0.87%,11/25
14,富蘭克林華美生技基金,南非幣,11.70,0.11,0.95%,11/25
16,富蘭克林華美生技基金-N類型,南非幣,11.69,0.11,0.95%,11/25
18,FT潔淨能源(00899)本基金非屬環境、社會及治理相關主題基金,台幣,24.02,-0.18,-0.74%,11/25
20,FT臺灣Smart(00905),台幣,8.67,-0.17,-1.92%,11/28
22,富蘭克林華美第一富基金,台幣,67.39,0.21,0.31%,11/28
24,富蘭克林華美新世界股票基金,台幣,18.62,-0.14,-0.75%,11/25
26,富蘭克林華美新世界股票基金,美元,16.03,0.03,0.19%,11/25
28,富蘭克林華美新世界股票基金,人民幣,18.01,0.15,0.84%,11/25
30,富蘭克林華美新世界股票基金-N類型,台幣,8.74,-0.06,-0.68%,11/25
32,富蘭克林華美新世界股票基金-N類型,美元,8.18,0.02,0.25%,11/25
34,富蘭克林華美中華基金,台幣,12.20,-0.11,-0.89%,11/25
36,富蘭克林華美中國消費基金,台幣,8.70,-0.07,-0.80%,11/25
38,富蘭克林華美中國消費基金,人民幣,9.64,0.00,0.00%,11/25
40,富蘭克林華美中國消費基金,美元,9.88,-0.04,-0.40%,11/25
42,富蘭克林華美台股傘型基金之高科技基金,台幣,33.35,-0.06,-0.18%,11/28
44,富蘭克林華美中國傘型基金之中國A股基金,台幣,8.36,-0.12,-1.42%,11/25
46,富蘭克林華美中國傘型基金之中國A股基金,人民幣,7.80,-0.05,-0.64%,11/25
48,富蘭克林華美中國傘型基金之中國A股基金,美元,8.53,-0.09,-1.04%,11/25
50,富蘭克林華美中國傘型基金之中國A股基金-N類型,台幣,9.45,-0.14,-1.46%,11/25
52,富蘭克林華美中國傘型基金之中國A股基金-N類型,美元,9.42,-0.10,-1.05%,11/25
54,富蘭克林華美中國傘型基金之中國A股基金-N類型,人民幣,10.09,-0.07,-0.69%,11/25
56,富蘭克林華美中國傘型基金之中國A股基金-N類型,南非幣,11.37,-0.08,-0.70%,11/25
58,富蘭克林華美全球成長基金,台幣,8.66,-0.07,-0.80%,11/25
60,富蘭克林華美全球成長基金,美元,8.91,0.02,0.23%,11/25
62,富蘭克林華美策略高股息基金-累積,台幣,10.09,-0.05,-0.49%,11/25
64,富蘭克林華美策略高股息基金-分配,台幣,8.16,-0.03,-0.37%,11/25
66,富蘭克林華美策略高股息基金-累積,美元,9.84,0.06,0.61%,11/25
68,富蘭克林華美策略高股息基金-分配,美元,7.96,0.05,0.63%,11/25
70,富蘭克林華美特別股收益基金-A累積型,台幣,11.19,-0.07,-0.62%,11/25
72,富蘭克林華美特別股收益基金-B分配型,台幣,8.61,-0.06,-0.69%,11/25
74,富蘭克林華美特別股收益基金-NB分配型,台幣,8.61,-0.06,-0.69%,11/25
76,富蘭克林華美特別股收益基金-A累積型,美元,10.56,0.02,0.19%,11/25
78,富蘭克林華美特別股收益基金-B分配型,美元,8.13,0.01,0.12%,11/25
80,富蘭克林華美特別股收益基金-NB分配型,美元,8.13,0.01,0.12%,11/25
82,富蘭克林華美特別股收益基金-B分配型,人民幣,7.90,0.01,0.13%,11/25
