,基金名稱,幣別,淨值,漲跌,比例,日期
2,摩根中國A股基金,台幣,18.03,-0.17,-0.93%,11/24
4,摩根中國A股基金,美元,14.08,-0.05,-0.35%,11/24
6,摩根中國亮點基金,台幣,12.11,-0.03,-0.25%,11/24
8,摩根中小基金,台幣,32.99,-0.43,-1.29%,11/25
10,摩根亞洲基金,台幣,58.51,0.30,0.52%,11/24
12,摩根全球α基金,台幣,15.33,0.18,1.19%,11/23
14,摩根台灣增長基金,台幣,67.35,-0.18,-0.27%,11/25
16,摩根台灣金磚基金,台幣,29.14,-0.23,-0.78%,11/25
18,摩根大歐洲基金,台幣,19.06,-0.02,-0.10%,11/24
20,摩根新絲路基金,台幣,7.87,0.05,0.64%,11/24
22,摩根新興35基金,台幣,13.10,0.09,0.69%,11/24
24,摩根新興日本基金,台幣,27.04,0.75,2.85%,11/24
26,摩根新金磚五國基金,台幣,9.88,0.08,0.82%,11/24
28,摩根東方內需機會基金,台幣,18.34,0.09,0.49%,11/24
30,摩根絕對日本基金,台幣,14.30,0.45,3.25%,11/24
32,摩根金龍收成基金,台幣,23.74,0.07,0.30%,11/24
34,摩根龍揚基金,台幣,35.53,0.11,0.31%,11/24
36,摩根泛亞太股票入息基金-月配息型,台幣,8.43,0.06,0.72%,11/24
38,摩根泛亞太股票入息基金-月配息型,美元,8.16,0.10,1.24%,11/24
40,摩根泛亞太股票入息基金-累積型,台幣,11.75,0.08,0.69%,11/24
42,摩根新興科技基金,台幣,83.26,-0.79,-0.94%,11/25
44,摩根東方科技基金,台幣,36.68,0.33,0.91%,11/24
46,摩根平衡基金,台幣,37.29,-0.16,-0.43%,11/25
48,摩根亞太高息平衡基金-季配息型,台幣,8.9942,0.0224,0.25%,11/24
50,摩根亞太高息平衡基金-累積型,台幣,13.3129,0.0331,0.25%,11/24
52,摩根全球平衡基金,台幣,14.2394,0.0089,0.06%,11/24
54,摩根中國雙息平衡基金-月配(本基金有相當比重投資於非投資等級之高風險債券且配息可能涉及本金),台幣,9.0432,-0.0339,-0.37%,11/24
56,摩根中國雙息平衡基金-月配(本基金有相當比重投資於非投資等級之高風險債券且配息可能涉及本金),人民幣,10.0973,0.0013,0.01%,11/24
58,摩根中國雙息平衡基金-累積(本基金有相當比重投資於非投資等級之高風險債券),台幣,12.0707,-0.0452,-0.37%,11/24
60,摩根中國雙息平衡基金-累積(本基金有相當比重投資於非投資等級之高風險債券),人民幣,14.8988,0.0019,0.01%,11/24
62,摩根亞洲總合高收益債券基金-月配息型(本基金主要係投資於非投資等級之高風險債券),台幣,5.0579,-0.0246,-0.48%,11/24
64,摩根亞洲總合高收益債券基金-月配息型(本基金主要係投資於非投資等級之高風險債券),美元,5.4272,-0.0193,-0.35%,11/24
66,摩根亞洲總合高收益債券基金-累積型,台幣,9.4537,-0.0459,-0.48%,11/24
68,摩根新興活利債券基金-月配息型,台幣,4.2360,-0.0155,-0.36%,11/24
70,摩根新興活利債券基金-累積型,台幣,8.3448,-0.0308,-0.37%,11/24
72,摩根總收益組合基金-月配息型,台幣,8.1278,-0.0092,-0.11%,11/24
74,摩根總收益組合基金-累積型,台幣,10.9318,-0.0123,-0.11%,11/24
76,摩根第一貨幣市場基金,台幣,15.2695,0.0003,0.00%,11/25
