,基金名稱,幣別,淨值,漲跌,比例,日期
2,野村成長基金,台幣,64.78,-0.50,-0.77%,11/25
4,野村 e科技基金,台幣,35.28,-0.40,-1.12%,11/25
6,野村台灣運籌基金,台幣,65.82,-0.62,-0.93%,11/25
8,野村鴻運基金,台幣,41.30,-0.25,-0.60%,11/25
10,野村積極成長基金,台幣,27.26,-0.21,-0.76%,11/25
12,野村高科技基金,台幣,19.01,-0.22,-1.14%,11/25
14,野村台灣高股息基金,台幣,36.13,-0.29,-0.80%,11/25
16,野村平衡基金,台幣,33.6300,-0.2000,-0.59%,11/25
18,野村鴻利基金,台幣,40.1600,-0.2500,-0.62%,11/25
20,野村貨幣市場基金,台幣,16.5423,0.0004,0.00%,11/25
22,野村精選貨幣市場基金,台幣,12.2119,0.0003,0.00%,11/25
24,野村優質基金,台幣,83.38,-0.60,-0.71%,11/25
26,野村優質基金-累積S類型,台幣,23.38,-0.17,-0.72%,11/25
28,野村中小基金,台幣,99.30,-0.61,-0.61%,11/25
30,野村中小基金-累積S類型,台幣,11.26,-0.06,-0.53%,11/25
32,野村全球高股息基金-累積,台幣,20.6200,0.0600,0.29%,11/23
34,野村全球高股息基金-累積,人民幣,12.8900,0.0500,0.39%,11/23
36,野村全球高股息基金-季配(本基金之配息來源可能為本金),台幣,12.5200,0.0400,0.32%,11/23
38,野村全球高股息基金-季配(本基金之配息來源可能為本金),人民幣,9.9100,0.0400,0.41%,11/23
40,野村全球高股息基金-累積S類型,台幣,10.8600,0.0400,0.37%,11/23
42,野村亞太高股息基金-累積,台幣,13.0700,0.1000,0.77%,11/24
44,野村亞太高股息基金-累積型,人民幣,10.7900,0.0000,0.00%,11/24
46,野村亞太高股息基金-季配(本基金之配息來源可能為本金),台幣,8.6200,0.0600,0.70%,11/24
48,野村亞太高股息基金-季配型,人民幣,10.7600,0.0000,0.00%,11/24
50,野村亞太高股息基金-累積S類型,台幣,11.6900,0.0000,0.00%,11/24
52,野村全球短期收益基金,台幣,10.2203,0.0155,0.15%,11/23
54,野村全球短期收益基金,美元,10.3580,0.0160,0.15%,11/23
56,野村全球短期收益基金,人民幣,11.1773,0.0262,0.24%,11/23
58,野村全球金融收益基金-累積型(本基金之配息來源可能為本金),台幣,9.6108,0.0411,0.43%,11/23
60,野村全球金融收益基金-累積型(本基金之配息來源可能為本金),美元,9.7196,0.0416,0.43%,11/23
62,野村全球金融收益基金-累積型(本基金之配息來源可能為本金),人民幣,10.2060,0.0454,0.45%,11/23
64,野村全球金融收益基金-月配型(本基金之配息來源可能為本金),台幣,8.0462,0.0344,0.43%,11/23
66,野村全球金融收益基金-月配型(本基金之配息來源可能為本金),美元,8.1347,0.0348,0.43%,11/23
68,野村全球金融收益基金-月配型(本基金之配息來源可能為本金),人民幣,8.1495,0.0376,0.46%,11/23
70,野村全球金融收益基金-月配N類型,台幣,7.8852,0.0337,0.43%,11/23
72,野村全球金融收益基金-月配N類型,美元,7.9730,0.0340,0.43%,11/23
74,野村全球金融收益基金-月配N類型,人民幣,7.9774,0.0373,0.47%,11/23
76,野村全球金融收益基金-累積N類型,台幣,9.1965,0.0393,0.43%,11/23
