,基金名稱,幣別,淨值,漲跌,比例,日期
2,元大多福基金,台幣,71.99,-0.06,-0.08%,11/28
4,元大多多基金,台幣,26.80,-0.02,-0.07%,11/28
6,元大卓越基金,台幣,49.33,0.02,0.04%,11/28
8,元大店頭基金,台幣,14.18,0.04,0.28%,11/28
10,元大萬泰貨幣市場基金,台幣,15.3543,0.0014,0.01%,11/28
12,元大高科技基金,台幣,27.55,-0.04,-0.15%,11/28
14,元大經貿基金,台幣,42.93,0.15,0.35%,11/28
16,元大新主流基金,台幣,35.71,-0.08,-0.22%,11/28
18,元大亞太成長基金,台幣,6.22,-0.11,-1.74%,11/25
20,元大全球地產建設基金-配息,台幣,6.94,0.01,0.14%,11/25
22,元大全球地產建設基金-不配息,台幣,9.62,0.01,0.10%,11/25
24,元大全球公用能源基金-配息,台幣,6.79,-0.02,-0.29%,11/25
26,元大全球公用能源基金-不配息,台幣,9.63,-0.04,-0.41%,11/25
30,元大全球農業商機基金,台幣,22.85,-0.10,-0.44%,11/25
32,元大新中國基金,台幣,9.26,-0.05,-0.54%,11/25
34,元大印度基金,台幣,15.47,-0.04,-0.26%,11/25
36,元大新興亞洲基金,台幣,10.44,-0.11,-1.04%,11/25
38,元大華夏中小基金,台幣,8.01,-0.05,-0.62%,11/25
40,元大得利貨幣市場基金,台幣,16.5526,0.0015,0.01%,11/28
42,元大得寶貨幣市場基金,台幣,12.1894,0.0011,0.01%,11/28
44,元大台灣加權股價指數基金,台幣,39.1660,-0.6090,-1.53%,11/28
46,元大台灣卓越50基金,台幣,114.19,-2.78,-2.38%,11/28
48,元大全球ETF穩健組合基金,台幣,15.53,-0.12,-0.77%,11/25
50,元大全球不動產證券化基金A-不配息,台幣,13.07,0.06,0.46%,11/25
52,元大全球不動產證券化基金B-配息,台幣,8.24,0.03,0.37%,11/25
54,元大全球新興市場精選組合基金,台幣,12.67,-0.11,-0.86%,11/25
56,元大台灣中型100基金,台幣,51.58,-0.04,-0.08%,11/28
58,元大全球ETF成長組合基金,台幣,11.37,-0.11,-0.96%,11/25
60,元大台灣電子科技基金,台幣,54.73,-1.17,-2.09%,11/28
62,元大台灣金融基金,台幣,21.53,-0.11,-0.51%,11/28
64,元大台灣高股息基金,台幣,25.28,-0.20,-0.78%,11/28
66,元大大中華價值指數基金,台幣,14.25,-0.08,-0.55%,11/25
68,元大標智滬深300基金,台幣,17.34,-0.22,-1.25%,11/28
72,元大巴西指數基金,台幣,5.3380,-0.2410,-4.32%,11/25
74,元大印尼指數基金,台幣,9.2320,-0.0710,-0.76%,11/25
76,元大富櫃50基金,台幣,16.1800,0.1000,0.62%,11/28
78,元大摩臺基金,台幣,55.0400,-1.2000,-2.13%,11/28
80,元大人民幣貨幣市場基金,台幣,11.0309,-0.0811,-0.73%,11/25
82,元大人民幣貨幣市場基金,人民幣,12.4988,0.0006,0.00%,11/25
84,元大上證50基金,台幣,27.69,-0.48,-1.70%,11/28
86,元大中國平衡基金,台幣,12.91,-0.21,-1.60%,11/25
88,元大中國平衡基金,人民幣,3.01,-0.03,-0.99%,11/25
90,元大黃金期貨基金,台幣,8.14,0.03,0.37%,11/25
92,元大標普高盛黃金ER指數期貨基金,台幣,22.78,0.08,0.35%,11/25
94,元大標普高盛黃金ER單日正向2倍指數期貨基金,台幣,23.33,0.18,0.78%,11/25
96,元大標普高盛黃金ER單日反向1倍指數期貨基金,台幣,13.42,-0.08,-0.59%,11/25
98,元大道瓊白銀ER期貨基金,台幣,21.57,0.04,0.19%,11/25
100,元大標普高盛原油ER指數期貨基金,台幣,16.38,-0.39,-2.33%,11/25
102,元大標普高盛原油ER單日反向1倍指數期貨基金,台幣,9.13,0.16,1.78%,11/25
104,元大台灣50單日正向2倍基金,台幣,97.31,-3.35,-3.33%,11/28
106,元大台灣50單日反向1倍基金,台幣,5.81,0.09,1.57%,11/28
108,元大標普美元ER指數期貨基金,台幣,21.05,-0.03,-0.14%,11/25
110,元大標普美元ER單日正向2倍指數期貨基金,台幣,22.61,-0.05,-0.22%,11/25
112,元大標普美元ER單日反向1倍指數期貨基金,台幣,15.91,0.00,0.00%,11/25
114,元大標普日圓ER單日正向2倍指數期貨基金,台幣,9.45,0.01,0.11%,11/25
116,元大標普日圓ER單日反向1倍指數期貨基金,台幣,25.06,-0.06,-0.24%,11/25
