,date,title,text,link
0,2022-11-14,「與其說台積電是巨人，不如說它是怪獸...」世界最強的半導體代工能力，讓台灣陷入了怎樣的處境？,美、中、歐盟政府挹注5兆日圓（約新台幣1兆多元）以上的補助款輔助半導體產業，其中一個原因是為了掠奪網路的空間陣地。直到20世紀為止，各國的地...,https://www.businesstoday.com.tw/article/category/183015/post/202211080038/「與其說台積電是巨人，不如說它是怪獸...」世界最強的半導體代工能力，讓台灣陷入了怎樣的處境？
1,2022-11-14,保時捷、Volvo都它客戶！台灣充電一哥裕電擁3成市占、3千支充電樁搶「補電」商機,"目前在台灣擁有高市佔的裕電，是台灣最早經營充電樁營運商的業者，近幾年電動車銷量急速上升，公司怎麼看未來市場趨勢？

2010年創立的裕電...",https://www.businesstoday.com.tw/article/category/183015/post/202211140021/保時捷、Volvo都它客戶！台灣充電一哥裕電擁3成市占、3千支充電樁搶「補電」商機
2,2022-11-13,高虹安爭議、鄭州廠事件影響鴻海？郭台銘拋金句「政治不代表一切」　曝近期3強烈感受,今周刊編按：郭台銘今（13）日出席台大醫院癌醫中心分院輻射科學暨質子治療中心的冠名典禮，被詢問有關民眾黨新竹市長候選人高虹安爭議，他解釋，確...,https://www.businesstoday.com.tw/article/category/183015/post/202211130017/高虹安爭議、鄭州廠事件影響鴻海？郭台銘拋金句「政治不代表一切」　曝近期3強烈感受
3,2022-11-13,鴻海電動巴士悄悄現身印尼峇里島！ 首次「出國比賽」 FOXCONN字樣就在G20高峰會場趴趴走,鴻海電動巴士Model T從前天11日起，開始在G20（20國集團）高峰會地點的印尼峇里島街上奔馳，接送從世界各地前來參加G20及旗下多項系...,https://www.businesstoday.com.tw/article/category/183015/post/202211130013/鴻海電動巴士悄悄現身印尼峇里島！ 首次「出國比賽」 FOXCONN字樣就在G20高峰會場趴趴走
4,2022-11-12,鴻海要去泰國做電動車了！ 合資工廠今動土   拼2024年起量產   年產量要從5萬輛拉升至30萬輛,HORIZON PLUS今（12）日在泰國春武里府（Chonburi Province） Rojana Nhongyai工業園區舉行電動車廠...,https://www.businesstoday.com.tw/article/category/183015/post/202211120008/鴻海要去泰國做電動車了！ 合資工廠今動土   拼2024年起量產   年產量要從5萬輛拉升至30萬輛
5,2022-11-11,推動創新永續有成 李謀偉獲選工研院第十一屆新任院士,「十幾年前，李長榮就開始轉型，如今以琥珀酸製成的可分解塑膠，已漸漸成為世界主流，世界有名的品牌已經陸續開始導入。」站在工研院講台上，李長榮化...,https://www.businesstoday.com.tw/article/category/183015/post/202211110037/推動創新永續有成 李謀偉獲選工研院第十一屆新任院士
6,2022-11-11,韓國充電樁龍頭、現代汽車，背後的軍火庫竟藏身台灣,本期（1351期）《今周刊》封面故事，我們前進韓國，直擊該國正積極佈建充電樁的現場，拍攝下一張張當地人民在加油站、停車場、公園、高速公路的充...,https://www.businesstoday.com.tw/article/category/183015/post/202211110035/韓國充電樁龍頭、現代汽車，背後的軍火庫竟藏身台灣
7,2022-11-11,好日子沒了！馬斯克取消推特員工居家上班…每天開門就虧1.2億，警告「明年恐聲請破產」,全球首富馬斯克(Elon Musk)入主推特後，展開一連串的改革，知情人士透露，馬斯克在內部會議說了重話，直言對推特前景感到悲觀，明年恐將虧...,https://www.businesstoday.com.tw/article/category/183015/post/202211110015/好日子沒了！馬斯克取消推特員工居家上班…每天開門就虧1.2億，警告「明年恐聲請破產」
8,2022-11-10,布局多軌道衛星通訊 台廠加速搶商機,混合多軌道衛星通訊服務可以結合GEO與LEO的優勢，成為新發展趨勢。工業局舉辦的「2022多軌道衛星通訊服務供應鏈商機媒合交流會」也吸引國內...,https://www.businesstoday.com.tw/article/category/183015/post/202211100028/布局多軌道衛星通訊 台廠加速搶商機
9,2022-11-10,鴻海要幫傳統車廠組裝電動車了！ 劉揚偉今法說會透露：有一家可能即將落地 「明年是電動車非常關鍵的一年」,鴻海（2317）董事長劉揚偉今（10）日在第三季線上法說會上透露，電動車事業將迎來三家新創車廠及兩家傳統車廠加入，而且「新創已新加入兩家，傳...,https://www.businesstoday.com.tw/article/category/183015/post/202211100035/鴻海要幫傳統車廠組裝電動車了！ 劉揚偉今法說會透露：有一家可能即將落地 「明年是電動車非常關鍵的一年」
10,2022-11-14,「與其說台積電是巨人，不如說它是怪獸...」世界最強的半導體代工能力，讓台灣陷入了怎樣的處境？,美、中、歐盟政府挹注5兆日圓（約新台幣1兆多元）以上的補助款輔助半導體產業，其中一個原因是為了掠奪網路的空間陣地。直到20世紀為止，各國的地...,https://www.businesstoday.com.tw/article/category/183015/post/202211080038/
11,2022-11-14,保時捷、Volvo都它客戶！台灣充電一哥裕電擁3成市占、3千支充電樁搶「補電」商機,"目前在台灣擁有高市佔的裕電，是台灣最早經營充電樁營運商的業者，近幾年電動車銷量急速上升，公司怎麼看未來市場趨勢？

2010年創立的裕電...",https://www.businesstoday.com.tw/article/category/183015/post/202211140021/
12,2022-11-13,高虹安爭議、鄭州廠事件影響鴻海？郭台銘拋金句「政治不代表一切」　曝近期3強烈感受,今周刊編按：郭台銘今（13）日出席台大醫院癌醫中心分院輻射科學暨質子治療中心的冠名典禮，被詢問有關民眾黨新竹市長候選人高虹安爭議，他解釋，確...,https://www.businesstoday.com.tw/article/category/183015/post/202211130017/
13,2022-11-13,鴻海電動巴士悄悄現身印尼峇里島！ 首次「出國比賽」 FOXCONN字樣就在G20高峰會場趴趴走,鴻海電動巴士Model T從前天11日起，開始在G20（20國集團）高峰會地點的印尼峇里島街上奔馳，接送從世界各地前來參加G20及旗下多項系...,https://www.businesstoday.com.tw/article/category/183015/post/202211130013/
14,2022-11-12,鴻海要去泰國做電動車了！ 合資工廠今動土   拼2024年起量產   年產量要從5萬輛拉升至30萬輛,HORIZON PLUS今（12）日在泰國春武里府（Chonburi Province） Rojana Nhongyai工業園區舉行電動車廠...,https://www.businesstoday.com.tw/article/category/183015/post/202211120008/
15,2022-11-11,推動創新永續有成 李謀偉獲選工研院第十一屆新任院士,「十幾年前，李長榮就開始轉型，如今以琥珀酸製成的可分解塑膠，已漸漸成為世界主流，世界有名的品牌已經陸續開始導入。」站在工研院講台上，李長榮化...,https://www.businesstoday.com.tw/article/category/183015/post/202211110037/
16,2022-11-11,韓國充電樁龍頭、現代汽車，背後的軍火庫竟藏身台灣,本期（1351期）《今周刊》封面故事，我們前進韓國，直擊該國正積極佈建充電樁的現場，拍攝下一張張當地人民在加油站、停車場、公園、高速公路的充...,https://www.businesstoday.com.tw/article/category/183015/post/202211110035/
17,2022-11-11,好日子沒了！馬斯克取消推特員工居家上班…每天開門就虧1.2億，警告「明年恐聲請破產」,全球首富馬斯克(Elon Musk)入主推特後，展開一連串的改革，知情人士透露，馬斯克在內部會議說了重話，直言對推特前景感到悲觀，明年恐將虧...,https://www.businesstoday.com.tw/article/category/183015/post/202211110015/
18,2022-11-10,布局多軌道衛星通訊 台廠加速搶商機,混合多軌道衛星通訊服務可以結合GEO與LEO的優勢，成為新發展趨勢。工業局舉辦的「2022多軌道衛星通訊服務供應鏈商機媒合交流會」也吸引國內...,https://www.businesstoday.com.tw/article/category/183015/post/202211100028/
19,2022-11-10,鴻海要幫傳統車廠組裝電動車了！ 劉揚偉今法說會透露：有一家可能即將落地 「明年是電動車非常關鍵的一年」,鴻海（2317）董事長劉揚偉今（10）日在第三季線上法說會上透露，電動車事業將迎來三家新創車廠及兩家傳統車廠加入，而且「新創已新加入兩家，傳...,https://www.businesstoday.com.tw/article/category/183015/post/202211100035/
20,2022-11-10,奪下特斯拉、賓士兩大關鍵訂單！華城笑納台灣充電樁2成市占，故事要從11年前說起,成立超過50年的機電大城華城電機，除了本業變壓器、配電盤以外，更在11年前就已經布局充電樁業務，現在已經成為台灣市占兩成的充電樁營運商，究竟...,https://www.businesstoday.com.tw/article/category/183015/post/202211100029/
21,2022-11-10,3個傻子看到大家看不到的機會…台灣奈微光開發全球首顆「矽光子晶片」，故事要從台大光電所說起,矽光子技術前景備受看好，台灣奈微光領先德、日，成功開發全球第1顆中遠紅外光四合一矽光子晶片，順利募得資金度過難關，3年後擬挑戰股票掛牌。,https://www.businesstoday.com.tw/article/category/183015/post/202211040034/
22,2022-11-10,車禍處理只要3分鐘！這款行車記錄器幫大忙…鴻海轉投資公司靠2技術，讓保費支出降低17%,根據《財訊》報導，自鴻海內部創業的創星物聯科技公司，擅長車聯網軟體和AI技術，建置的數據平台，為保險、車隊管理等業者提供客製化服務，也為民眾...,https://www.businesstoday.com.tw/article/category/183015/post/202211040037/
23,2022-11-10,買iPhone 14 Pro要工作多久？這國家得花5個月，台灣要●●天…新機全球最便宜，日本人仍嘆「買不起」,"蘋果（Apple）每每推出新產品，都備受全球關注，一支iPhone價格越來越貴的現象，廣泛受到討論，不少果粉也仍然會買單。

今年美元兌...",https://www.businesstoday.com.tw/article/category/183015/post/202211100024/
24,2022-11-09,科技寒冬來臨…臉書今年剛募1.5萬員工，現在要砍1.1萬！祖克柏喊沒辦法：這是個悲傷時刻,臉書 META(META-US) 母公司 Meta Platforms 執行長祖克柏（Mark Zuckerberg）周三（9 日）在給員工...,https://www.businesstoday.com.tw/article/category/183015/post/202211070019/
