,vocab,pos,def
0,a,冠詞,一個
1,about,介系詞,1. 大約；2. 關於...
2,actor,名詞,男演員
3,actress,名詞,女演員
4,after,介系詞,在...之後
5,afternoon,名詞,下午
6,again,副詞,再一次、又一次
7,airplane,名詞,飛機 (= plane)
8,airport,名詞,機場
9,all,限定詞,全部的
10,always,副詞,總是、永遠
11,an,冠詞,一個
12,and,連接詞,和
13,angry,形容詞,生氣的
14,animal,名詞,動物
15,answer,動詞,回答
16,apple,名詞,蘋果
17,April,名詞,四月
18,arm,名詞,手臂
19,art,名詞,美術、藝術
20,ask,動詞,問
21,at,介系詞,在(某處)、在(時刻)
22,August,名詞,八月
23,aunt,名詞,阿姨、姑姑、伯母、舅媽
24,away,副詞,離開
25,a,冠詞,一個
26,about,介系詞,1. 大約；2. 關於...
27,actor,名詞,男演員
28,actress,名詞,女演員
29,after,介系詞,在...之後
30,afternoon,名詞,下午
31,again,副詞,再一次、又一次
32,airplane,名詞,飛機 (= plane)
33,airport,名詞,機場
34,all,限定詞,全部的
35,always,副詞,總是、永遠
36,an,冠詞,一個
37,and,連接詞,和
38,angry,形容詞,生氣的
39,animal,名詞,動物
40,answer,動詞,回答
41,apple,名詞,蘋果
42,April,名詞,四月
43,arm,名詞,手臂
44,art,名詞,美術、藝術
45,ask,動詞,問
46,at,介系詞,在(某處)、在(時刻)
47,August,名詞,八月
48,aunt,名詞,阿姨、姑姑、伯母、舅媽
49,away,副詞,離開
50,baby,名詞,嬰兒
51,back,名詞,背
52,back,副詞,向後、回原處
53,bad,形容詞,不好的、壞的
54,bag,名詞,袋子
55,ball,名詞,球
56,banana,名詞,香蕉
57,bank,名詞,銀行
58,baseball,名詞,棒球
59,basketball,名詞,籃球
60,bathroom,名詞,浴室
61,be,助動詞,"是 (is, am, are)"
62,beach,名詞,海灘
63,bear,名詞,熊
64,beautiful,形容詞,美麗的、漂亮的
65,because,連接詞,因為
66,bed,名詞,床
67,bedroom,名詞,臥房
68,bee,名詞,蜜蜂
69,beef,名詞,牛肉
70,before,"介系詞, 連接詞",在...之前
71,behind,介系詞,在...後面
72,bicycle,名詞,腳踏車 (= bike)
73,big,形容詞,大的
74,bike,名詞,腳踏車 (= bicycle)
75,bird,名詞,鳥
76,birthday,名詞,生日
77,bite,動詞,咬
78,black,形容詞,黑色的
79,blackboard,名詞,黑板
80,blue,形容詞,藍色的
81,boat,名詞,船
82,book,名詞,書、書本
83,bookstore,名詞,書店
84,bored,形容詞,覺得無聊的
85,boring,形容詞,令人無聊的
86,both,限定詞,兩個都
87,bottle,名詞,瓶子
88,box,名詞,箱子
89,boy,名詞,男孩
90,bread,名詞,麵包
91,breakfast,名詞,早餐
92,brother,名詞,哥哥、弟弟
93,brown,形容詞,咖啡色的
94,brush,動詞,用刷子刷
95,bus,名詞,公車
96,bus stop,名詞,公車站
97,busy,形容詞,忙碌的
98,but,連接詞,但是
99,butterfly,名詞,蝴蝶
100,buy,動詞,買
101,by,介系詞,在...旁邊
102,bye,感嘆詞,再見 (= goodbye)
103,cake,名詞,蛋糕
104,call,動詞,打電話給...
105,can,助動詞,可以
106,can,名詞,罐子
107,candy,名詞,糖果
108,cap,名詞,棒球帽
109,car,名詞,車子
110,card,名詞,卡片
111,cat,名詞,貓
112,cellphone,名詞,手機
113,chair,名詞,椅子
114,chicken,名詞,雞
115,chicken,名詞,雞肉
116,Chinese,名詞,中文
117,chocolate,名詞,巧克力
118,chopsticks,名詞,筷子
119,class,名詞,課；班級
120,classroom,名詞,教室
121,clean,形容詞,乾淨的
122,clean,動詞,清理
123,climb,動詞,爬、攀爬
124,clock,名詞,時鐘
125,close,動詞,關
126,clothes,名詞,衣服
127,cloudy,形容詞,多雲的
128,coat,名詞,外套
129,coffee,名詞,咖啡
130,coke,名詞,可樂
131,cold,形容詞,寒冷的
132,cold,名詞,感冒
133,color,名詞,顏色
134,come,動詞,來
135,computer,名詞,電腦
136,cook,名詞,廚師
137,cook,動詞,做飯
138,cookies,名詞,餅乾
139,cool,形容詞,涼爽的
140,cool,形容詞,清涼的
141,cousin,名詞,堂兄（弟、姊、妹）
142,cow,名詞,乳牛
143,cry,動詞,哭、哭泣
144,cup,名詞,杯子
145,cute,形容詞,可愛的
146,dad,名詞,爸爸 (= father; daddy)
147,daddy,名詞,爸爸 (= father; dad)
148,dance,動詞,跳舞
149,daughter,名詞,女兒
150,day,名詞,天
151,December,名詞,十二月
152,department store,名詞,百貨公司
153,desk,名詞,桌子
154,different,形容詞,不一樣的
155,dining room,名詞,(家裡的)餐廳
156,dinner,名詞,晚餐
157,dirty,形容詞,髒的
158,dish,名詞,碟子、盤子
159,do,助動詞,助動詞
