,classification,vocab,pos,def
0,第一級,a,冠詞,一個;一種
1,第一級,A.M.,副詞,上午
2,第四級,abandon,動詞,放棄
3,第六級,abbreviate,動詞,縮寫
4,第六級,abide,動詞,忍受;等候
5,第一級,ability,名詞,能力;專門技能
6,第一級,able,形容詞,能;有能力的
7,第五級,abnormal,形容詞,不正常的
8,第三級,aboard,副詞,在船(或飛機;車)上;上船(或飛機;車)
8,第三級,aboard,介系詞,"上(船,飛機,車);在(船,飛機,車)上"
9,第五級,abolish,動詞,廢除;廢止
10,第六級,aboriginal,形容詞,土著的;土著居民的
10,第六級,aboriginal,名詞,土著居民
10,第六級,aboriginal,名詞,土生動物(或植物)
11,第五級,abortion,名詞,墮胎
12,第六級,abound,動詞,大量存在;富足;充滿
13,第一級,about,副詞,在四周;在附近;大約
13,第一級,about,介系詞,大約;關於
14,第一級,above,形容詞,"上文的,前述的"
14,第一級,above,副詞,在上面;在上文;更高
14,第一級,above,介系詞,在…之上
15,第一級,abroad,副詞,在國外
16,第五級,abrupt,形容詞,突然的;意外的
17,第二級,absence,名詞,缺席
18,第二級,absent,形容詞,"缺席的,不在場的"
18,第二級,absent,動詞,缺席
19,第四級,absolute,形容詞,絕對的;完全的
20,第四級,absorb,動詞,"吸收(液體,氣體,光,聲等)"
21,第四級,abstract,形容詞,抽象的
22,第六級,abstraction,名詞,抽象
23,第五級,absurd,形容詞,荒謬的;愚蠢的
24,第六級,abundance,名詞,豐富;充足
25,第五級,abundant,形容詞,大量的;充足的
25,第五級,abundant,形容詞,豐富的
26,第五級,abuse,動詞,濫用;虐待
26,第五級,abuse,名詞,濫用;虐待
27,第四級,academic,形容詞,學術的
28,第六級,academy,名詞,學院;大學;研究院
29,第五級,accelerate,動詞,加快;增長
30,第四級,accent,名詞,重音;腔調
31,第二級,accept,動詞,接受
32,第三級,acceptable,形容詞,可以接受的;令人滿意的
33,第四級,acceptance,名詞,"接受;領受;(票據等的)承兌,認付"
34,第四級,access,動詞,取出(資料);使用;接近
