,phrase,chinese
0,be about to do something,即將，將要做某事
1,by accident,偶然地，意外地
2,in accord (with . . . )  (fml.),與…一致，融洽
3,on account of . . .  (fml.),因為 …
4,act on something,根據某物行事
5,in addition (to . . . ),除…之外 (還)
6,aside from . . .,除了 …以外 (還有 …)；除了 …以外
7,in advance (of something)  ,(在…)之前，事先
8,take advantage of . . .,利用 …
9,after all,畢竟
10,along with . . .,與…一起，除了 …之外
11,along . . . lines,以…的方式
12,amount to something,總計 …，總數達到 …
13,with open arms,熱情地，熱烈地
14,as for . . .,至於 …
15,back up . . .,支持 …，證實 …
16,base something on something,以…為根據，以 …為基礎
17,on behalf of someone,代表某人
18,belong to . . .,是…一類；屬於 …
19,best of all,最令人高興的是，最棒的是
20,beyond  belief,令人難以置信
21,believe it or not,信不信由你
22,black out something,封鎖  (資訊、消息等 )
23,bless you,保佑你 (對打噴嚏者所說的話 )
24,be blessed with something,有幸享有 …
25,take a bow,謝幕，鞠躬答謝
26,break down (something),使(…)分解
27,break out,爆發，突然發生
28,break out (of something),逃離  (某事物 )，擺脫  (某事物 )
29,give someone  a break  (infml. ),饒了、放過某人
30,breathe  in,吸氣
31,bring about something,導致 …
32,bring . . . back,使…恢復
33,bring something on . . .,給…招來 (壞事 )
34,bring down someone,擊敗 …，推翻 …
35,bring someone to justice,將…繩之以法，把 …緝捕歸案
36,build on something,以某事物為基礎
37,burn down (something)  ,(被)燒毀 (…)
38,bury oneself in something,埋首於某事
39,nothing but,只有
40,can’t help but do something,忍不住 …，無法克制 …
41,buy into something  (infml.),相信 …
42,call for something,呼籲…，公開要求 …
43,care for someone,照顧、照料某人
44,couldn’t  care less (infml .),毫不在乎
45,carry  out something,實行某事，進行某事
46,cast a spell on someone,對…下咒，對 …施魔法
47,cast out . . .,驅逐 …，趕走 …
48,cater to . . .,滿足 …，迎合 …的需求
49,on the off chance,碰運氣
50,check out . . .,查看 …，檢查 …
51,clear up something,解決 (疑慮、問題等 )
52,close  out something,結束某事
53,come upon . . .,偶然遇見 …，偶然發現 …
54,come off,脫落
55,come from something,來自 …，起源於 …
56,come across,使人產生 (…的)印象
57,come along,抵達，出現
58,come up with something,想出，提出 (計畫、答案等 )
59,remember the new  words.  when it comes to (doing) something,說到、提及 (做)某事
60,have something in common  ,(和某人的想法、興趣等方面 )有共同之； (和某物或某處的特點 )有相同、相似之處
61,something can’t/doesn’t compare (with something else),不能  (與某事) 相比
62,in comparison (with . . . ) ,(與…)相比較
63,consist of . . .,由…組成、構成
64,in control,保持冷靜，處之泰然；掌控，操控 (機構或局勢 )
65,cost someone dearly,使某人付出沉重代價
66,cover up something,掩飾，掩蓋 (錯誤、罪行等 )
67,crowd into something,大量湧入某處，大批擠進某處
68,crowd out . . .,排擠 …
69,cut down  (on something),減少 (…)
70,dawn on someone,使某人開始明白
71,these days  (infml.),現今，如今
72,"day in, day out",日復一日
73,day after day,每天，一天天
74,around the clock  = all day and all night,日以繼夜
75,deal with something,處理 …，解決 …
76,a great deal of something,大量的某物
77,depend on . . .,依賴 …，依靠 …
78,rely on . . .  ,(為生活、生存 )依賴 …；信賴 …，信任 …
79,derive something from something,從…中獲得 …
80,deprive . . . of something,從…剝奪某物，使 …失去某物
81,die off,相繼死去
82,be dying to do something  (infml.),很想、渴望做某事
83,in the dead of night,夜深人靜時
84,dig in (infml. ),開動
85,dig into something,探究某事
86,dish out something,分配某物
87,without a doubt,毫無疑問地
88,drive off ,(駕駛 )駕車離去， (車輛 )開走
89,drive . . . out,驅離 …
90,drop out (of something),退出 (學校或活動 )
91,due to . . .,因為 …，由於 …
92,on duty,值班，值勤
93,at ease,感到自在、輕鬆的
94,end up (doing something),最後處於 (…)，結果成為 (…)
95,engage in something,參加 …，從事 …
96,even though,即使，雖然
97,to . . . extent,到達 …的程度
98,go to extremes,採取極端的手段
99,in someone’s  eyes,在某人看來，在某人心目中
100,have one’s eye on someone,看上 …，看中 …
101,open one’s eyes (to something),使某人 (對…)開眼界、長見識
102,save (one’s) face  ,(給…)留面子
103,disappear off the face of the earth,消失得無影無蹤
104,in fact,實際上，事實上
105,as a matter of fact,實際上，其實
106,in reality,事實上
107,fade out,使(畫面 )淡出，使 (聲音 )漸弱
108,far from (doing) something,完全不 …，根本不 …
109,be on one’s feet,久站
110,fight off something,擊退 …，克服 …
111,nowhere to be found,找不到
112,first of all,第一，首先
113,come first,最為重要，擺在第一位
114,first and foremost,首先，首要的是
115,fit in,適應
116,flash back (to something),回想起  (某事 )
117,forgive and forget,完全原諒，不念舊惡
118,to the fullest,充分地
119,get out of something,逃避 …，擺脫 …
120,get into something,養成某種習慣
121,get behind (with something)  ,(在…方面 )落後
122,get over  . . .,從…中恢復常態
123,get rid of . . .,擺脫…，除掉 …；丟棄 …，扔掉 …
124,get around,四處走動，旅行； (消息、訊息等 ) 傳開，流傳
125,get away (from . . . )  ,(從…)離開， (從…)逃離
126,get at  something,查明 …，瞭解 …
127,at first glance,乍看之下，初見
128,at a (single) glance,看一眼
129,be glued to something  (infml.),全神貫注地看著 …
130,go on,發生，進行
131,go on to do something  ,(完成某事後 ) 接著做另一件事
132,go to . . .,給予 …，由 …得到
133,go by ,(時間 )流逝
134,go by something,遵循某事物，遵從某事物
135,go beyond something,超出 …，超過 …
136,take . . . for granted,將…視為理所當然
137,grow out of something,產生於 …，源自於 …
138,on the other hand,另一方面
139,in the hands of someone,受…控制
140,come in handy,有用，派上用場
141,hang up,掛斷 (電話 )
142,hang out (with someone)  ,(與…)閒晃、廝混
143,have no idea,不知道，不瞭解
144,have no need of something,不需要某物
145,have nothing to do with . . .,與…無關
146,as luck would have it,幸而，碰巧
147,had better,最好 …，還是 (做)…好
148,make  (the)  headlines :,成為重要新聞、頭條
149,pour out one’s heart,傾訴，傾吐
150,win the heart of someone,贏得 …的心
151,lose one’s heart (to someone)  (fml.),愛上 (某人 )
152,open one’s heart (to someone)  ,(向某人 ) 敞開心扉
153,one’s heart is in one’s mouth,提心吊膽， 緊張害怕
154,hit it big  (infml. ),成功
155,hit the roof (infml. ),勃然大怒，生氣
156,hit home,使(某人 )深切感受到
157,at home,自在，無拘無束
158,in honor of . . .,向…致敬
159,hunt someone down,追捕某人，追緝某人
160,for instance  = for example,例如
161,keep ( . . . ) out (of something),不使 (…)進入 (某地 )
162,keep (someone) out of something,使(某人 )不捲入 …，使 (某人 )不受 …影響
163,keep off something,避免吃某物
164,keep down something,抑制某物增長，使某物不增加
165,keep up with . . .,跟上 …，趕上 …
166,keep . . . in mind,記住 …，考慮 …
167,knock on wood,敲木頭 (希望留住好運、避免厄運時說的話 )
168,know no bounds,無窮無盡
169,lay down something,制定，明訂 (規定或法律等 )
