,order,year,phrase,chinese
0,指考,110,wear out ,磨損 ; 耗盡
1,指考,110,break through ,突破 ; 打破
2,指考,110,heat up ,加熱 ; 使 ... 變暖
3,指考,110,in short ,總⽽⾔之 ; 簡⽽⾔之
4,指考,109,serve as ,充當 ; 起 … 的作⽤
5,指考,109,fight for ,為 ... ⽽戰
6,指考,109,persist in ,堅持
7,指考,109,correspond to ,相當於 ; 符合
8,指考,109,toss out ,丟棄 ; 扔掉
9,指考,109,get off ,離開
10,指考,109,catch up ,趕上
11,指考,109,carry on ,繼續
12,指考,108,if any ,若有的話
13,指考,108,among others ,其中 ; 尤其
14,指考,108,in short ,總⽽⾔之 ; 簡⽽⾔之
15,指考,108,at best ,充其量 ; 頂多
16,指考,108,at large ,逍遙法外 ;普遍地 ; 全體地
17,指考,108,in service ,服勤中
18,指考,108,by contrast ,相比之下
19,指考,108,under control ,在掌控之下
20,指考,107,check out ,檢查
21,指考,107,watch over ,保護 ; 照顧
22,指考,107,speak of ,談到 ; 論及
23,指考,107,trade with ,和 … 貿易
24,指考,107,in spite of ,儘管
25,指考,107,as a result of ,由於
26,指考,107,to the best of... (my knowledge/my ability) ,就我所知 / 就我能⼒所及
27,指考,107,for the sake of ,由於 ; 為了
28,指考,106,put up with ,容忍 ; 忍受
29,指考,106,crack down on ,打擊 ; 鎮壓
30,指考,106,give in to ,屈服 ; 讓步
31,指考,106,look out for ,照顧 ;留⼼ ; 注意尋找
32,指考,106,subject to ,受到 … 的影響
33,指考,106,accustomed to ,習慣於
34,指考,106,blessed with ,在 ... ⽅⾯有福
35,指考,106,familiar with ,熟悉
36,指考,105,long before ,很早以前 ; 很久以前
37,指考,105,close to ,接近於 ; 靠近
38,指考,105,aside from ,besides 除此之外 ( 包含 );except for 除了 … 之外 ( 不包含 )
39,指考,105,soon after ,不久之後
40,指考,105,in addition to ,除 ... 之外
41,指考,105,with respect to ,關於 ; ⾄於
42,指考,104,cater to ,滿⾜或提供需求
43,指考,104,depend on ,取決於
44,指考,104,go after sb/sth ,追趕 ; 追捕 ;謀求 ; 追逐
45,指考,104,identify with ,認同 ( 某⼈ ); 與 ( 某⼈ ) 產⽣共鳴
46,指考,104,above all ,最重要的 ; 尤其
47,指考,104,as it appears ,看起來
48,指考,104,to some extent ,在某種程度上
49,指考,104,come across ,碰到
50,指考,104,sweep through ,席捲
51,指考,103,in short ,簡⾔之 ; 總之
52,指考,102,by all means ,好的 ; 當然
53,指考,102,as a result ,由於
54,指考,102,on the other hand ,另⼀⽅⾯
55,指考,102,out of luck ,運氣不好
56,指考,102,in the dark ,蒙在⿎底 ; ⼀無所知
57,指考,102,off the record ,下說的 ; 不供發表的
58,指考,102,on the rise ,在上升
59,指考,102,so that ,為了 ; 以便
60,指考,102,as soon as ,⼀ ... 就
61,指考,102,in case of ,以防萬⼀
62,指考,102,ever since ,從 ... 以來
