,platform,date,title,url
0,BBC,10 Jan 2022,https://www.bbc.co.ukDjokovic vs Australia: Novak to stay,/learningenglish/english/course/newsreview-2022/unit-1/session-1
1,BBC,18 Jan 2022,https://www.bbc.co.ukTonga: Volcano and tsunami hit,/learningenglish/english/course/newsreview-2022/unit-1/session-2
2,BBC,25 Jan 2022,https://www.bbc.co.ukUkraine: US tells embassy families to leave,/learningenglish/english/course/newsreview-2022/unit-1/session-3
3,BBC,01 Feb 2022,https://www.bbc.co.ukNadal: Star breaks records again,/learningenglish/english/course/newsreview-2022/unit-1/session-4
4,BBC,07 Feb 2022,https://www.bbc.co.ukThe Queen: 70 years on the throne,/learningenglish/english/course/newsreview-2022/unit-1/session-5
5,BBC,15 Feb 2022,https://www.bbc.co.ukUkraine: Fears of invasion,/learningenglish/english/course/newsreview-2022/unit-1/session-6
6,BBC,22 Feb 2022,https://www.bbc.co.uk'Freedom Convoy': Arrests made,/learningenglish/english/course/newsreview-2022/unit-1/session-7
7,BBC,01 Mar 2022,https://www.bbc.co.ukWar in Ukraine,/learningenglish/english/course/newsreview-2022/unit-1/session-8
8,BBC,08 Mar 2022,https://www.bbc.co.ukRocket hits the Moon,/learningenglish/english/course/newsreview-2022/unit-1/session-9
9,BBC,15 Mar 2022,https://www.bbc.co.ukWhat is the future for fuel?,/learningenglish/english/course/newsreview-2022/unit-1/session-10
10,BBC,22 Mar 2022,https://www.bbc.co.ukGreat Barrier Reef in danger,/learningenglish/english/course/newsreview-2022/unit-1/session-11
11,BBC,29 Mar 2022,https://www.bbc.co.ukWill Smith hits Chris Rock,/learningenglish/english/course/newsreview-2022/unit-1/session-12
12,BBC,04 Apr 2022,https://www.bbc.co.ukDriverless car trial,/learningenglish/english/course/newsreview-2022/unit-1/session-13
13,BBC,12 Apr 2022,https://www.bbc.co.ukEd Sheeran wins Shape of You copyright case,/learningenglish/english/course/newsreview-2022/unit-1/session-14
14,BBC,31 Mar 2022,"https://www.bbc.co.ukNo beard, no job for government workers in Afghanistan",/learningenglish/english/course/newsreview-2022/unit-1/session-15
15,BBC,26 Apr 2022,https://www.bbc.co.ukMacron wins second term,/learningenglish/english/course/newsreview-2022/unit-1/session-16
16,BBC,03 May 2022,https://www.bbc.co.ukIs there plastic in your blood?,/learningenglish/english/course/newsreview-2022/unit-1/session-17
17,BBC,10 May 2022,https://www.bbc.co.ukNew Doctor Who revealed,/learningenglish/english/course/newsreview-2022/unit-1/session-18
18,BBC,17 May 2022,https://www.bbc.co.ukUkraine wins Eurovision 2022,/learningenglish/english/course/newsreview-2022/unit-1/session-19
19,BBC,23 May 2022,https://www.bbc.co.ukMonkeypox: New disease spreads,/learningenglish/english/course/newsreview-2022/unit-1/session-20
20,BBC,12 May 2022,https://www.bbc.co.ukSold: Most expensive piece of 20th century art,/learningenglish/english/course/newsreview-2022/unit-1/session-21
21,BBC,08 Jun 2022,https://www.bbc.co.ukBoris Johnson survives,/learningenglish/english/course/newsreview-2022/unit-1/session-22
22,BBC,15 Jun 2022,https://www.bbc.co.ukGoogle engineer: AI has feelings,/learningenglish/english/course/newsreview-2022/unit-1/session-23
23,BBC,21 Jun 2022,https://www.bbc.co.ukPrices rise across the world,/learningenglish/english/course/newsreview-2022/unit-1/session-24
24,BBC,29 Jun 2022,https://www.bbc.co.ukWorld energy crisis,/learningenglish/english/course/newsreview-2022/unit-1/session-25
25,BBC,06 Jul 2022,https://www.bbc.co.ukEight months' rain in four days,/learningenglish/english/course/newsreview-2022/unit-1/session-26
26,BBC,13 Jul 2022,https://www.bbc.co.ukKiller salt?,/learningenglish/english/course/newsreview-2022/unit-1/session-27
27,BBC,20 Jul 2022,https://www.bbc.co.ukHeatwaves across the world,/learningenglish/english/course/newsreview-2022/unit-1/session-28
28,BBC,27 Jul 2022,https://www.bbc.co.ukMystery child illness: Cause found,/learningenglish/english/course/newsreview-2022/unit-1/session-29
29,BBC,03 Aug 2022,https://www.bbc.co.ukRecord oil profits,/learningenglish/english/course/newsreview-2022/unit-1/session-30
30,BBC,10 Aug 2022,https://www.bbc.co.ukTrump home 'raided',/learningenglish/english/course/newsreview-2022/unit-1/session-31
31,BBC,17 Aug 2022,https://www.bbc.co.ukLong Covid: Three types identified,/learningenglish/english/course/newsreview-2022/unit-1/session-32
32,BBC,24 Aug 2022,https://www.bbc.co.ukDogs: Happy tears?,/learningenglish/english/course/newsreview-2022/unit-1/session-33
33,BBC,31 Aug 2022,https://www.bbc.co.ukPakistan's climate catastrophe,/learningenglish/english/course/newsreview-2022/unit-1/session-34
34,BBC,07 Sep 2022,https://www.bbc.co.ukNew UK prime minister,/learningenglish/english/course/newsreview-2022/unit-1/session-35
35,BBC,14 Sep 2022,https://www.bbc.co.ukUkraine: A turning point?,/learningenglish/english/course/newsreview-2022/unit-1/session-36
36,BBC,21 Sep 2022,https://www.bbc.co.ukLate nights: Bad for health?,/learningenglish/english/course/newsreview-2022/unit-1/session-37
37,BBC,28 Sep 2022,https://www.bbc.co.ukNasa smashes asteroid,/learningenglish/english/course/newsreview-2022/unit-1/session-38
38,BBC,05 Oct 2022,https://www.bbc.co.ukFast food: Bad for the brain?,/learningenglish/english/course/newsreview-2022/unit-1/session-39
39,BBC,12 Oct 2022,https://www.bbc.co.ukIran protests,/learningenglish/english/course/newsreview-2022/unit-1/session-40
40,BBC,19 Oct 2022,https://www.bbc.co.ukCancer vaccine?,/learningenglish/english/course/newsreview-2022/unit-1/session-41
