,platform,date,url,title
0,taiwan-news,2022/12/15 12:12,https://www.taiwannews.com.tw/en/news/4751184,"MEP Anna Fotyga in Taiwan to discuss economic, trade cooperation"
1,taiwan-news,2022/12/15 11:03,https://www.taiwannews.com.tw/en/news/4751118,"Taiwanese American nonprofit donates US$600,000 to University of Guam"
2,taiwan-news,2022/12/15 09:20,https://www.taiwannews.com.tw/en/news/4751046,"Taiwan tracks 9 Chinese military aircraft, 5 naval ships around country"
3,taiwan-news,2022/12/14 19:55,https://www.taiwannews.com.tw/en/news/4750516,Taiwan works to increase fines for drivers not yielding to pedestrians
4,taiwan-news,2022/12/14 19:25,https://www.taiwannews.com.tw/en/news/4750310,China’s food product recipe requirement applies to Taiwan only
5,taiwan-news,2022/12/14 19:16,https://www.taiwannews.com.tw/en/news/4750410,China prepping pretext for future attack on Taiwan: Foreign minister
6,taiwan-news,2022/12/14 16:35,https://www.taiwannews.com.tw/en/news/4750280,Taiwan lodges 9 WTO complaints against China over trade barriers
7,taiwan-news,2022/12/14 12:42,https://www.taiwannews.com.tw/en/news/4749945,Taiwan Vice President Lai Ching-te registers candidacy for DPP chair
8,taiwan-news,2022/12/14 12:03,https://www.taiwannews.com.tw/en/news/4749910,"Disney+ show changes Mandarin subtitles from Taiwan to 'Taiwan, China'"
9,taiwan-news,2022/12/14 11:04,https://www.taiwannews.com.tw/en/news/4749801,Iranian newspaper declares 'Taiwan independence is a legal right'
10,taiwan-news,2022/12/14 10:32,https://www.taiwannews.com.tw/en/news/4749813,"Taiwan tracks 11 Chinese military aircraft, 7 naval ships around country"
11,taiwan-news,2022/12/13 20:13,https://www.taiwannews.com.tw/en/news/4749313,Taiwan’s private colleges long for return of Chinese students
12,taiwan-news,2022/12/13 17:19,https://www.taiwannews.com.tw/en/news/4749080,Transportation minister emphasizes national defense role for Taipei Songshan Airport
13,taiwan-news,2022/12/13 15:39,https://www.taiwannews.com.tw/en/news/4748974,Taiwan CECC chief visits outer islands to consider ferry links with China
14,taiwan-news,2022/12/13 15:31,https://www.taiwannews.com.tw/en/news/4748792,"1,000 Taiwanese give pastry chain 5 Google stars after it dumps China market"
15,taiwan-news,2022/12/13 14:56,https://www.taiwannews.com.tw/en/news/4748880,German education minister plans visit to Taiwan in 2023
16,taiwan-news,2022/12/13 10:57,https://www.taiwannews.com.tw/en/news/4748648,"Taiwan tracks 29 Chinese military aircraft, 3 naval ships around country"
17,taiwan-news,2022/12/12 16:03,https://www.taiwannews.com.tw/en/news/4747705,"Taiwan's Cabinet bars TikTok, works to expand ban to other branches"
18,taiwan-news,2022/12/12 15:37,https://www.taiwannews.com.tw/en/news/4747859,Taiwan Coast Guard Administration launches 3rd Chiayi-class patrol vessel
19,taiwan-news,2022/12/12 12:35,https://www.taiwannews.com.tw/en/news/4747614,Taiwan to arm Tuo Chiang corvettes with more Hsiung Feng III missiles
20,taiwan-news,2022/12/12 12:19,https://www.taiwannews.com.tw/en/news/4747599,Taiwan weighing nationwide ban on TikTok
21,taiwan-news,2022/12/12 11:57,https://www.taiwannews.com.tw/en/news/4747590,"Taiwan tracks 8 Chinese military aircraft, 4 naval ships around country"
